New Zoning,Old Zoning,New maximum residency,Old maximum residency,New maximum sqft.,Old maximum sqft.,Distance to Closest Rapid Transit (meters)
CMX-4,C4 COM5,3050.3,3050.3,1372243.5385538316,1372243.5385538316,18.716301076512302
RM-1,R10 RES3,185.65,188.0,83474.75012171907,84547.99690899834,490.4805301293964
RM-1,R10 RES3,246.75,251.45000000000002,110695.89513969979,112119.12807721023,315.18350593525065
RSA-5,R10A RES2,21.150000000000002,21.150000000000002,30139.29531533127,30139.29531533127,689.4378192812626
RSA-5,R10A RES2,44.65,44.65,59477.43310239649,59477.43310239649,602.8030446530005
RSA-5,R10A RES2,23.5,23.5,32390.471545057855,32390.471545057855,385.4555144759647
RSA-5,R10A RES2,28.200000000000003,28.200000000000003,36910.51479192572,36910.51479192572,266.63448386942133
RSA-5,R10A RES2,42.300000000000004,42.300000000000004,56446.9349440635,56446.9349440635,330.6293356387606
RSA-5,R10A RES2,11.75,11.75,15513.552887852398,15513.552887852398,172.64203494372472
CMX-1,C1 COM1,4.7,4.7,9283.060181314195,9283.060181314195,388.73070742583946
RSA-5,R10A RES2,25.85,25.85,35827.27410568684,35827.27410568684,310.22628640363104
RSA-5,R10A RES2,23.5,23.5,31489.59898705469,31489.59898705469,372.7790132346371
RM-1,R10 RES3,293.75,298.45,131866.5783680589,133562.00580421963,339.3606412710899
RSA-5,R10A RES2,98.7,98.7,129651.83424506028,129651.83424506028,342.52671901543323
CMX-4,C4 COM5,618.0500000000001,618.0500000000001,277434.30489627586,277434.30489627586,16.9414220752862
CMX-2,C2 COM1,35.25,35.25,14884.804579965195,14884.804579965195,287.0087138584317
RSA-5,C2 COM1,2.35,11.75,3560.816455766522,5022.308118147421,877.8550063212618
RSA-5,C1 COM1,2.35,2.35,3147.1785428816356,3551.1182430258223,516.3483424041824
CMX-1,C1 COM1,11.75,11.75,18239.406350912916,18239.406350912916,957.7906511732871
CMX-1,C1 COM1,2.35,2.35,2362.3987224842117,2362.3987224842117,586.3435087467526
RM-1,R9 RES3,183.3,185.65,81460.33244319176,82507.67957460423,3985.622562906902
RSA-5,R10A RES2,70.5,70.5,93048.81774523381,93048.81774523381,605.60559339689
CMX-1,C1 COM1,4.7,4.7,7313.066139333223,7313.066139333223,491.23204474259484
RSA-5,R10A RES2,58.75,58.75,78968.77588126196,78968.77588126196,1262.187145027007
CMX-2,C2 COM1,14.100000000000001,14.100000000000001,5342.579428478971,5342.579428478971,4145.897236516067
RM-1,R10 RES3,94.0,96.35000000000001,41829.8466368488,42367.658950751145,317.1658171922289
RSA-5,L4 IND1,11.75,84.60000000000001,15862.413839977708,37288.231875829115,175.96089026679581
RM-1,R10 RES3,437.1,444.15000000000003,196345.85116025707,198870.29781803186,756.7180668675387
RSA-5,R10A RES2,2.35,2.35,3474.7921952883635,3474.7921952883635,132.499770314361
RM-4,R15 RES5,535.8000000000001,535.8000000000001,240447.86889997023,240447.86889997023,1504.9283361972152
CMX-2,C2 COM1,14.100000000000001,14.100000000000001,6074.841274546288,6074.841274546288,759.535430311524
CMX-2,C2 COM1,11.75,11.75,4990.401028608361,4990.401028608361,740.5574575092392
CMX-1,C1 COM1,2.35,2.35,2428.4675907285477,2428.4675907285477,1514.0398108793106
RSA-5,R10A RES2,32.9,32.9,42923.20335249173,42923.20335249173,120.51794865879863
RM-1,R10 RES3,420.65000000000003,425.35,188267.41037653945,190687.99136709498,690.4620935505222
RM-1,R10 RES3,155.1,155.1,68756.20019492011,69640.20848314052,305.8977233752233
CMX-2,C2 COM1,28.200000000000003,28.200000000000003,12055.447222327388,12055.447222327388,694.492930231641
RM-1,R10 RES3,25.85,28.200000000000003,11513.755222864522,11661.789218587068,433.37826479199396
RSA-5,R9A RES2,164.5,164.5,214641.7757835183,214641.7757835183,615.026559361546
CMX-1,C1 COM1,2.35,2.35,2803.973542567755,2803.973542567755,1534.557274282017
